연번,시도,계,과속+신호,과속,신호,"주정차
위반",방범
,,,,,,,
0,서울시,4725,343,94,1,664,3623
1,종   로,25,0,0,0,0,25
2,중   구,236,5,0,0,18,213
3,용   산,86,0,1,1,7,77
4,성   동,193,32,1,0,29,131
5,광   진,232,14,2,0,11,205
6,동대문,105,14,11,0,3,77
7,중   랑,155,11,2,0,24,118
8,성   북,144,23,4,0,89,28
9,강   북,193,16,2,0,81,94
10,도   봉,131,20,4,0,46,61
11,노   원,258,2,0,0,49,207
12,은   평,676,3,13,0,22,638
13,서대문,102,19,11,0,36,36
14,마   포,107,12,1,0,8,86
15,양   천,290,21,9,0,22,238
16,강   서,129,3,1,0,1,124
17,구   로,237,36,3,0,23,175
18,금   천,60,0,11,0,0,49
19,영등포,204,4,,,27,173
20,동   작,140,16,7,0,4,113
21,관   악,258,25,4,0,64,165
22,서   초,141,20,1,0,34,86
23,강   남,263,24,,,54,185
24,송   파,213,22,3,0,8,180
25,강   동,147,1,3,0,4,139
